Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,19.2170,NA,16.80790000000000,16.73160000000000,0.00000000000000,0.09930000000000,14.8268,2.4091,16.8079,16.8079,0.0000,16.4977,0.4095,0.4012,0.0083,NA,2.4091,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,18.7336,NA,16.73540000000000,16.64060000000000,0.00000000000000,0.17320000000000,8.4112,1.9982,16.7354,16.7354,0.0000,0.5065,16.4021,0.5310,15.8711,NA,1.9982,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,28.2939,NA,13.48000000000000,23.63670000000000,0.41990000000000,0.88170000000000,22.4876,15.2762,13.4376,13.0177,0.4199,13.1624,0.7370,0.7282,0.0088,NA,15.2762,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,34.8220,NA,15.60500000000000,16.73770000000000,0.00000000000000,0.26920000000000,15.9595,19.2170,15.6050,15.6050,0.0000,0.0993,15.7749,0.4292,15.3457,0.0702,19.2170,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,366.2954,NA,347.56180000000001,349.99669999999998,0.00000000000000,0.27970000000000,10.8461,18.7336,347.5618,347.5618,0.0000,16.3576,331.4839,0.6757,330.8082,-333.2613,18.7336,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,436.6434,NA,70.34800000000000,66.67770000000000,0.00000000000000,0.28480000000000,7.1758,366.2954,70.3480,70.3480,0.0000,33.9472,36.6856,0.6802,36.0054,280.8841,366.2954,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,398.3431,NA,370.04919999999998,351.19490000000002,0.44340000000000,0.94420000000000,3.6333,28.7138,370.0727,369.6293,0.4434,369.7815,0.7920,0.7835,0.0085,-337.7573,28.7138,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,400.1070,NA,365.28500000000003,351.19490000000002,0.00000000000000,0.13560000000000,1.8694,34.8220,365.2850,365.2850,0.0000,331.7531,33.6675,0.5702,33.0973,-335.5899,34.8220,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,861.3314,NA,461.22440000000000,468.41239999999999,0.00000000000000,0.01130000000000,9.0574,400.1070,461.2244,461.2244,0.0000,354.3316,106.9041,0.4372,106.4669,-103.1274,400.1070,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,859.6790,NA,461.33589999999998,468.41239999999999,0.42050000000000,0.97850000000000,10.7098,398.7865,461.3130,460.8925,0.4205,461.0220,0.8490,0.8386,0.0104,-98.3397,398.7865,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,861.7056,NA,0.37420000000000,16.68790000000000,0.00000000000000,0.13590000000000,25.3711,861.3314,0.3742,0.3742,0.0000,0.0113,0.4988,0.3871,0.1117,444.5365,861.3314,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,878.5017,NA,18.82270000000000,33.38670000000000,0.36920000000000,1.34250000000000,25.2738,860.0995,18.7714,18.4022,0.3692,16.6264,3.1183,1.3330,1.7853,427.9263,860.0995,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,894.6730,NA,32.96740000000000,16.69880000000000,0.00000000000000,0.15230000000000,9.1025,861.7056,32.9674,32.9674,0.0000,0.1359,32.9838,0.5071,32.4767,-16.3246,861.7056,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,906.1795,NA,27.67780000000000,16.71970000000000,0.56000000000000,0.87030000000000,14.3157,878.8709,27.8686,27.3086,0.5600,26.9574,1.2215,0.8676,0.3539,2.0517,878.8709,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,911.2559,NA,16.58290000000000,16.71970000000000,0.00000000000000,0.18390000000000,9.2393,894.6730,16.5829,16.5829,0.0000,0.1523,16.6145,0.4993,16.1152,16.2477,894.6730,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,754.2894,NA,317.64600000000002,316.67160000000001,0.00000000000000,0.14920000000000,6.2014,436.6434,317.6460,317.6460,0.0000,0.2848,317.5104,0.5924,316.9180,-246.3236,436.6434,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,943.3212,NA,37.14170000000000,33.49680000000000,0.61270000000000,1.36210000000000,10.6708,906.7395,37.1944,36.5817,0.6127,35.8553,2.0885,0.8325,1.2560,-5.6282,906.7395,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,945.7116,NA,34.45570000000000,33.49680000000000,0.00000000000000,0.15030000000000,8.2804,911.2559,34.4557,34.4557,0.0000,0.1839,34.4221,0.5249,33.8972,-16.9139,911.2559,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1314.3930,NA,371.07180000000000,367.90300000000002,0.53360000000000,0.99850000000000,7.5020,943.9339,370.9927,370.4591,0.5336,370.6600,0.7976,0.7878,0.0098,-330.7086,943.9339,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1316.2681,NA,370.55650000000003,367.90300000000002,0.00000000000000,0.10860000000000,5.6269,945.7116,370.5565,370.5565,0.0000,66.3700,304.2951,0.5663,303.7288,-333.4473,945.7116,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1333.1041,NA,18.71110000000000,16.71910000000000,0.48250000000000,0.86420000000000,5.5100,1314.9266,18.6600,18.1775,0.4825,17.9867,1.0550,0.8857,0.1693,354.2736,1314.9266,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1334.7594,NA,18.49130000000000,16.71910000000000,0.00000000000000,0.12360000000000,3.8547,1316.2681,18.4913,18.4913,0.0000,0.1086,18.5063,0.5363,17.9700,353.8374,1316.2681,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,1011.9390,NA,257.64960000000002,266.68000000000001,0.00000000000000,0.14260000000000,15.2318,754.2894,257.6496,257.6496,0.0000,191.5725,66.2197,0.9183,65.3014,50.9660,754.2894,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1362.5041,NA,29.40000000000000,33.48070000000000,0.59370000000000,0.94250000000000,9.5907,1333.5866,29.5112,28.9175,0.5937,29.2683,0.5917,0.5802,0.0115,-14.8207,1333.5866,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1364.3640,NA,29.60460000000000,33.48070000000000,0.00000000000000,0.11260000000000,7.7308,1334.7594,29.6046,29.6046,0.0000,0.1236,29.5936,0.4695,29.1241,-14.9894,1334.7594,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1379.9119,NA,17.40780000000000,33.43150000000000,0.42030000000000,0.83510000000000,25.6144,1363.0978,17.2344,16.8141,0.4203,17.0778,0.5714,0.5610,0.0104,-3.9203,1363.0978,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1394.9591,NA,30.59510000000000,33.43150000000000,0.00000000000000,0.17350000000000,10.5672,1364.3640,30.5951,30.5951,0.0000,14.2245,16.5441,0.7476,15.7965,-3.8269,1364.3640,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1395.9473,NA,16.03540000000000,16.79420000000000,0.32890000000000,0.83520000000000,26.3732,1380.3322,15.9440,15.6151,0.3289,15.7902,0.6601,0.6523,0.0078,0.4402,1380.3322,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1411.4260,NA,16.46690000000000,16.79420000000000,0.00000000000000,0.13760000000000,10.8945,1394.9591,16.4669,16.4669,0.0000,0.1735,16.4310,0.5710,15.8600,13.8009,1394.9591,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,1378.4607,NA,366.52170000000001,366.64330000000001,0.00000000000000,0.12780000000000,15.3534,1011.9390,366.5217,366.5217,0.0000,352.5376,14.1119,0.5838,13.5281,-108.9937,1011.9390,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1412.2388,NA,16.29150000000000,16.65850000000000,0.26640000000000,0.65900000000000,26.7402,1396.2762,16.2290,15.9626,0.2664,16.0996,0.5220,0.5154,0.0066,-0.7145,1396.2762,NA,NA,NA
